date,temperatureMax,temperatureMin,rainTotal,rainPercent,barometerMax,barometerMin,cloudMax,cloudMin,humidityMax,humidityMin
2018-01-10,33.872,0.86,0.026,0.35,30.261,30.038,,,89.0,73.0
2018-01-11,47.192,29.3,0.285,3.82,30.047,29.923,,,90.0,88.0
2018-01-12,55.108,42.657,0.932,10.07,29.929,29.421,,,89.0,87.0
2018-01-13,42.758,4.64,0.207,2.78,30.13,29.519,,,92.0,74.0
2018-01-14,10.003,-18.22,0.0,0.0,30.541,30.13,,,76.0,58.0
2018-01-15,17.6,-17.5,0.0,0.0,30.575,30.375,,,80.0,59.0
2018-01-16,26.6,-5.08,0.0,0.0,30.386,30.178,,,87.0,68.0
2018-01-17,30.302,16.16,0.0,0.0,30.215,29.966,,,89.0,82.0
2018-01-18,25.812,7.88,0.0,0.0,29.967,29.731,,,86.0,77.0
2018-01-19,26.78,19.04,0.0,0.0,29.759,29.668,,,86.0,84.0
2018-01-20,37.22,22.64,0.026,0.35,29.681,29.382,,,90.0,82.0
2018-01-21,40.892,30.74,0.285,3.82,29.991,29.678,,,91.0,89.0
2018-01-22,32.0,25.7,0.0,0.0,30.113,29.93,,,91.0,82.0
2018-01-23,40.714,28.164,0.855,11.11,29.93,29.277,,,88.0,84.0
2018-01-24,36.86,10.55,0.181,2.43,29.919,29.314,,,88.0,60.0
2018-01-25,19.304,-0.04,0.0,0.0,30.272,29.919,,,69.0,52.0
2018-01-26,30.43,-4.252,0.0,0.0,30.482,30.272,,,72.0,53.0
2018-01-27,42.44,12.56,0.052,0.69,30.348,29.895,,,65.0,54.0
2018-01-28,47.792,33.08,0.0,0.0,30.038,29.866,,,79.0,55.0
2018-01-29,33.44,21.38,0.0,0.0,30.187,30.025,,,72.0,59.0
2018-01-30,21.248,11.84,0.0,0.0,30.06,29.844,,,69.0,58.0
2018-01-31,26.37,2.3,0.0,0.0,30.01,29.674,,,65.0,49.0
2018-02-01,40.46,21.2,0.0,0.0,29.681,29.552,,,68.0,50.0
2018-02-02,34.7,-3.55,0.0,0.0,29.949,29.574,,,76.0,49.0
2018-02-03,20.66,-14.8,0.0,0.0,30.023,29.949,,,60.0,50.0
2018-02-04,33.98,13.1,0.0,0.0,30.002,29.661,,,75.0,56.0
2018-02-05,32.0,0.326,0.0,0.0,29.993,29.397,,,81.0,48.0
2018-02-06,31.224,-2.02,0.0,0.0,30.233,29.958,,,69.0,55.0
2018-02-07,23.18,-4.72,0.0,0.0,30.307,29.727,,,76.0,63.0
2018-02-08,30.38,6.968,0.0,0.0,30.119,29.74,,,76.0,54.103
2018-02-09,27.14,-6.52,0.0,0.0,30.248,30.082,,,68.0,55.0
2018-02-10,37.28,16.992,0.129,1.74,30.176,29.89,,,79.0,59.0
2018-02-11,32.72,21.56,0.026,0.35,29.986,29.576,,,81.0,75.0
2018-02-12,41.846,20.84,0.207,2.78,30.355,29.548,,,85.0,49.0
2018-02-13,35.482,-5.26,0.0,0.0,30.624,30.355,,,63.0,43.0
2018-02-14,46.022,19.58,0.0,0.0,30.392,29.803,,,67.0,48.0
2018-02-15,49.28,22.299,0.0,0.0,29.812,29.425,,,80.0,67.0
2018-02-16,43.328,24.8,0.026,0.35,29.787,29.412,,,80.0,73.0
2018-02-17,36.332,-0.94,0.078,1.04,30.146,29.787,,,79.0,52.267
2018-02-18,44.618,25.34,0.181,2.43,30.222,29.764,,,77.0,56.0
2018-02-19,48.02,13.15,0.078,1.04,30.259,30.025,,,76.0,48.0
2018-02-20,44.96,35.24,0.363,4.86,30.063,29.93,,,84.0,73.0
2018-02-21,70.88,39.281,0.078,1.04,30.261,29.859,,,86.0,59.0
2018-02-22,39.266,22.46,0.0,0.0,30.532,30.261,,,73.0,57.0
2018-02-23,38.84,14.0,0.078,1.05,30.54,29.916,,,78.0,53.0
2018-02-24,42.65,27.848,0.052,0.7,30.111,29.829,,,83.0,64.0
2018-02-25,37.58,22.46,0.026,0.35,30.165,29.7,,,80.0,69.0
2018-02-26,49.694,27.14,0.052,0.69,29.986,29.722,,,84.0,44.0
2018-02-27,58.174,24.8,0.0,0.0,30.146,29.942,,,71.0,34.621
2018-02-28,64.803,36.68,0.0,0.0,29.943,29.624,,,66.0,30.0
2018-03-01,46.003,31.64,0.026,0.35,29.825,29.604,,,77.0,50.241
2018-03-02,32.54,29.66,0.0,0.0,29.803,29.556,,,79.0,69.0
2018-03-03,34.7,28.76,0.026,0.35,30.049,29.803,,,79.0,73.0
2018-03-04,37.363,28.76,0.129,1.74,30.06,29.956,,,80.0,71.207
2018-03-05,39.597,28.04,0.129,1.74,30.028,29.93,,,82.0,60.0
2018-03-06,52.994,16.34,0.0,0.0,29.98,29.799,,,78.0,45.586
2018-03-07,38.18,24.8,0.0,0.0,29.831,29.667,,,74.0,59.0
2018-03-08,33.62,26.96,0.026,0.35,29.687,29.423,,,79.0,63.0
2018-03-09,38.756,25.16,0.0,0.0,29.493,29.364,,,79.0,63.0
2018-03-10,34.34,24.08,0.0,0.0,29.657,29.486,,,79.0,64.433
2018-03-11,34.544,26.6,0.0,0.0,29.953,29.657,,,79.0,68.0
2018-03-12,48.25,20.66,0.259,3.12,29.973,29.794,,,79.0,49.0
2018-03-13,32.54,27.86,0.0,0.0,29.803,29.462,,,79.0,66.0
2018-03-14,35.174,27.68,0.026,0.35,29.465,29.137,,,82.0,77.0
2018-03-15,34.34,26.06,0.026,0.35,29.288,29.146,,,83.0,73.0
2018-03-16,30.02,18.14,0.0,0.0,29.578,29.288,,,75.0,57.0
2018-03-17,26.174,4.082,0.0,0.0,29.746,29.467,,,64.0,40.0
2018-03-18,33.98,-16.42,0.0,0.0,29.812,29.681,,,57.0,34.0
2018-03-19,35.29,-13.18,0.0,0.0,29.849,29.707,,,56.0,36.0
2018-03-20,47.983,-8.32,0.104,1.39,29.859,29.792,,,59.0,36.0
2018-03-21,42.68,-0.94,0.0,0.0,29.857,29.687,,,61.0,43.0
2018-03-22,46.158,10.04,0.0,0.0,29.785,29.679,,,68.0,45.0
2018-03-23,47.797,12.2,0.0,0.0,29.908,29.761,,,71.0,40.655
2018-03-24,43.427,25.436,0.0,0.0,30.047,29.883,,,66.0,41.345
2018-03-25,50.428,15.8,0.0,0.0,30.434,30.047,,,69.333,37.0
2018-03-26,56.876,11.84,0.0,0.0,30.588,30.432,,,69.0,30.0
2018-03-27,53.321,14.18,0.0,0.0,30.532,29.984,,,68.0,31.0
2018-03-28,47.921,34.34,0.052,0.69,29.988,29.831,,,68.0,32.0
2018-03-29,57.33,32.9,0.104,1.39,29.888,29.698,,,77.0,52.0
2018-03-30,42.62,36.86,0.673,9.03,29.746,29.408,,,86.0,74.0
2018-03-31,58.119,21.2,0.0,0.0,29.962,29.746,,,82.0,34.31
2018-04-01,44.6,29.952,0.0,0.0,29.866,29.548,,,63.0,42.0
2018-04-02,50.956,22.64,0.0,0.0,29.905,29.84,,,66.0,33.103
2018-04-03,51.62,24.98,0.0,0.0,29.918,29.715,,,66.0,42.233
2018-04-04,44.78,33.44,0.751,10.07,29.715,29.05,,,81.69,57.1
2018-04-05,39.281,16.88,0.0,0.0,29.772,29.201,,,61.5,31.7
2018-04-06,38.573,13.1,0.026,0.35,29.781,29.325,,,71.0,36.0
2018-04-07,45.078,26.6,0.0,0.0,29.63,29.31,,,76.0,38.467
2018-04-08,36.09,16.88,0.0,0.0,29.659,29.567,,,63.0,45.0
2018-04-09,45.059,14.9,0.0,0.0,29.966,29.633,,,65.0,36.069
2018-04-10,45.14,15.62,0.0,0.0,29.993,29.879,,,65.0,43.0
2018-04-11,51.235,19.76,0.0,0.0,29.934,29.759,,,76.0,39.0
2018-04-12,56.252,31.46,0.259,3.47,29.814,29.526,,,75.0,44.207
2018-04-13,51.037,38.66,0.233,3.12,29.768,29.393,,,80.0,64.0
2018-04-14,41.462,20.84,0.518,6.94,30.154,29.75,,,82.0,55.233
2018-04-15,35.625,21.38,0.052,0.69,30.211,30.115,,,75.0,68.0
2018-04-16,44.6,29.12,0.57,7.32,30.167,29.416,,,79.0,66.586
2018-04-17,42.518,32.54,0.207,2.78,29.416,29.297,,,84.0,64.0
2018-04-18,46.07,30.56,0.026,0.35,29.476,29.351,,,76.0,61.367
2018-04-19,42.404,32.72,0.026,0.35,29.633,29.438,,,78.567,58.0
2018-04-20,37.4,29.3,0.129,1.74,29.995,29.633,,,80.0,73.0
2018-04-21,60.663,26.24,0.026,0.35,30.132,29.995,,,83.0,35.0
2018-04-22,64.729,22.64,0.0,0.0,30.248,30.126,,,76.0,30.0
2018-04-23,75.237,22.82,0.0,0.0,30.29,30.226,,,72.0,20.0
2018-04-24,79.371,33.98,0.0,0.0,30.226,30.047,,,59.0,20.0
2018-04-25,60.117,48.02,0.337,4.51,30.056,29.633,,,78.0,25.0
2018-04-26,55.784,46.363,0.44,5.9,29.655,29.454,,,82.0,69.2
2018-04-27,58.1,41.18,0.129,1.74,29.742,29.643,,,88.0,62.0
2018-04-28,67.646,40.64,0.078,1.04,29.742,29.554,,,90.0,57.0
2018-04-29,48.848,33.44,0.673,9.03,29.766,29.674,,,84.0,79.0
2018-04-30,48.2,32.36,0.518,6.94,29.803,29.655,,,86.0,80.0
2018-05-01,76.386,42.26,0.026,0.35,29.864,29.794,,,86.0,45.0
2018-05-02,89.558,44.6,0.0,0.0,29.846,29.75,,,78.0,30.767
2018-05-03,69.014,56.768,0.129,1.74,29.877,29.803,,,80.0,49.0
